iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
332,1169847,10136,195583,924792,396,264696,321402,337254,38664
333,1045406,16933,268129,697402,613,178993,286365,230680,38664
334,881385,11298,173132,656849,294,177643,217415,260813,38664
335,1154252,14817,257286,824096,942,246670,268672,307247,38664
336,1338682,12205,242017,1036809,694,258905,337583,438749,38664
337,814902,15306,185290,558883,497,211732,149188,196415,38664
338,1081537,11192,161523,854152,353,198232,357089,297810,38664
339,951092,16875,186141,687818,471,178855,265507,242234,38664
340,887400,9030,147595,695723,204,197403,281024,216752,38664
341,633376,7802,123767,463687,192,232152,105189,125815,38664
342,749397,6724,131845,586726,205,247361,143027,195390,38664
343,829680,23958,215403,509089,552,178853,129469,199476,38664
344,628813,8015,137028,453555,223,177597,108809,166482,38664
345,673326,6730,146275,489136,171,176180,122160,190229,38664
346,990198,5507,118928,843882,165,190163,329768,323261,38664
347,1084800,15918,187284,824950,476,179455,185631,458478,38664
348,1049353,15172,204998,773196,8307,284439,252636,226901,38664
349,928260,12150,152146,726151,1440,204541,267071,252503,38664
350,969115,14942,205021,691368,489,212142,249891,228087,38664
351,844082,10982,144812,652338,198,177314,250585,223650,38664
352,927304,11084,185028,687325,470,188351,261432,236465,38664
353,866844,9602,141659,680742,319,184247,286456,209295,38664
354,890627,7393,123705,733334,174,176515,279765,276208,38664
355,1034217,18203,210189,742405,529,199594,256890,284490,38664
356,1156125,16187,202171,877884,488,200246,285185,390986,38664
357,992932,16005,190596,729459,469,192384,221218,314315,38664
358,1097322,20390,299582,702117,628,340392,160329,199820,38664
359,1072456,11759,172405,842236,353,198480,330777,311895,38664
360,1152563,16988,293670,775313,724,305610,216679,251317,38664
361,728468,15009,167004,494223,394,188634,129582,174369,38664
362,667704,9397,151056,473536,285,182053,99877,190847,38664
363,674509,9628,147469,484239,314,196097,101329,185986,38664
364,640433,9224,140294,459711,277,197663,93630,167612,38664
365,601015,7390,129545,437323,354,176471,90234,169716,38664
366,577547,7281,128263,417667,317,177030,86333,153579,38664
367,584904,6971,125822,428222,222,176783,95565,155239,38664
368,591922,6919,126072,433608,247,185613,92264,155113,38664
369,617505,6843,125318,462803,251,190677,102475,168991,38664
370,631002,7401,129694,466597,222,176718,94056,195111,38664
371,597829,7486,129286,434384,250,177312,96169,160223,38664
372,600673,6812,125061,443462,223,189134,97341,156357,38664
373,602799,6904,126173,444296,234,177579,95240,170833,38664
374,603311,7045,141713,431427,224,176386,95050,159308,38664
375,613582,6813,137546,443527,268,182257,93458,167103,38664
376,606589,6731,141310,431770,228,178616,95332,157073,38664
377,603978,6818,124792,447727,225,185571,93575,167404,38664
378,586659,7089,125883,429071,232,176796,92540,159090,38664
379,693228,6862,136472,525696,290,232711,114080,178107,38664
380,675035,10594,133161,493660,246,186391,124961,181513,38664
381,643363,8091,142408,464801,320,196245,104090,163596,38664
382,603882,6950,136297,435591,237,176602,95048,163237,38664
383,606681,6730,125164,450150,231,175411,90886,183197,38664
384,584376,7076,125919,426418,246,176887,92696,156055,38664
385,609749,6840,125791,453436,217,194585,94755,163391,38664
386,1027372,6781,127623,867526,256,212503,252479,401654,38664
387,891560,20657,271999,533919,527,178426,165006,189091,38664
388,872014,10552,190658,633209,281,177905,198279,256075,38664
389,656717,10764,147013,460480,358,177300,110282,171977,38664
390,643957,8444,133210,444612,415,183159,96755,163743,38664
391,744090,8116,136117,572593,323,214041,115750,241789,38664
392,762797,17376,203213,481306,565,178624,128518,172873,38664
393,617320,9051,142090,423345,201,177875,91481,153456,38664
394,604186,7318,123904,447382,208,176093,126854,143648,38664
395,667701,13180,154592,447470,486,177174,103265,165763,38664
396,689660,9255,163198,481652,279,192789,109455,178527,38664
397,653441,7674,132623,481042,306,176129,134948,169179,38664
398,652038,7199,132610,484714,276,177561,127498,178736,38664
399,728622,16460,202363,445834,446,178576,111834,154279,38664
400,619875,8646,131535,447839,178,184293,102770,159925,38664
401,760372,11422,149596,556231,470,176565,102265,276061,38664
402,667217,13360,160668,444943,530,178181,128021,137513,38664
403,586000,8157,125600,424080,260,186209,90398,146773,38664
404,562998,6388,120192,413912,161,190992,92627,129836,38664
405,609389,6192,143298,437475,155,176451,81389,179169,38664
406,559226,5973,121103,410961,168,177282,99543,133617,38664
407,540732,5706,120188,394680,152,176798,101281,116071,38664
408,627616,5645,118818,482393,182,177009,116621,187853,38664
409,1562172,18155,305325,1174566,809,253847,243710,675045,38664
410,1059241,14818,208200,781838,430,179215,282420,318720,38664
411,1211848,18606,233704,894817,178,200081,316747,376915,38664
412,1252487,17458,282959,886198,693,254456,214906,414969,38664
413,1266624,19069,268675,909716,755,412959,271943,223042,38664
414,890079,13885,222309,604812,550,373347,107134,123141,38664
415,965301,10619,215228,697814,321,410948,96606,189484,38664
416,1195642,10280,214106,929833,307,408203,288335,232201,38664
417,974981,17187,194710,685503,524,198747,270362,214962,38664
418,865803,7831,139973,686326,170,203080,303842,178820,38664
419,851607,7547,131491,686930,167,196868,215360,274152,38664
420,718711,5702,120930,570395,162,194209,137632,238033,38664
421,1040765,5793,128001,886426,165,194171,136555,555025,38664
422,1222643,16814,268114,877706,661,405357,205642,265504,38664
423,1196842,12693,238666,896873,347,415683,271873,208575,38664
424,1020894,12607,214846,749733,214,386572,170286,192096,38664
425,1154090,11953,223294,872589,267,396761,259274,215499,38664
426,1244354,22545,313707,825120,812,308117,186724,328367,38664
427,772887,20838,171706,524980,531,178673,133743,211385,38664
428,795505,8252,141501,614126,183,194214,123343,295751,38664
429,854843,16056,189304,592736,651,217023,161113,212851,38664
430,749179,12708,173539,513202,385,182439,137810,192158,38664
431,739321,7556,124309,581298,194,185303,147464,247724,38664
432,1148677,16229,266926,787496,554,380777,180654,224787,38664
433,1108001,16540,210310,816596,391,257610,153484,404142,38664
434,1044804,19322,253302,710808,715,204147,156066,348765,38664
435,852830,15640,241281,536433,530,179832,112459,242643,38664
436,850596,15074,200203,578664,750,268536,140017,168356,38664
437,994417,14614,233971,690960,646,297694,151843,239812,38664
438,823507,13799,216726,538629,519,250788,133642,153071,38664
439,710653,9286,167864,496845,339,205191,124479,166100,38664
440,756826,16818,215122,465628,464,193251,104698,166470,38664
441,626684,10741,153809,422981,376,176044,93558,152375,38664
442,636577,8099,136266,453323,223,193676,92651,166297,38664
443,612826,7693,132292,446265,251,177242,103573,164768,38664
444,576476,7848,130899,412103,351,176269,84871,149519,38664
445,651633,6942,183071,435997,375,178138,97019,159692,38664
446,595811,7176,129472,433261,289,176544,84867,170908,38664
447,568349,7373,128193,407777,337,175595,81862,149479,38664
448,600059,6754,125953,443832,346,176543,108123,158379,38664
449,578373,7090,128563,414515,256,176326,84172,153204,38664
450,580873,6366,126697,424439,263,191782,82990,148989,38664
451,677553,6701,136709,509627,338,232930,99765,175946,38664
452,576042,7492,136144,403207,268,176170,82379,143971,38664
453,677683,6719,130054,516735,294,218679,93352,203589,38664
454,995466,23451,292982,598986,711,315356,131062,150773,38664
455,831985,14168,216389,549716,464,302305,131552,114821,38664
456,1293396,11638,204048,1035031,385,301473,230959,501457,38664
457,820902,15421,182913,568022,526,196300,227958,142335,38664
458,711367,15098,182406,459209,460,195615,94643,167737,38664
459,656479,8558,139942,477357,171,193510,92920,190083,38664
460,1154237,18472,305884,761038,709,347888,188826,222586,38664
461,1099589,15516,263467,760266,506,374062,144906,239714,38664
462,1166780,15537,247888,828294,505,384039,136654,306286,38664
463,1098538,12834,225668,812277,446,345485,173883,291877,38664
464,1012826,12420,198588,756340,363,369389,173147,212613,38664
465,1101829,14184,242652,792511,394,347272,171903,272007,38664
466,879245,15504,188835,617977,507,197038,194563,224919,38664
467,1008935,10886,222956,731054,459,343643,193175,193107,38664
468,1149264,11222,208214,883679,415,342732,142267,397582,38664
469,954604,11697,223527,671232,587,391910,128257,149837,38664
470,834231,9799,198067,583492,380,348603,91731,142183,38664
471,895076,10026,202667,641821,336,367879,131676,141368,38664
472,891253,11198,224427,602849,366,360900,103912,137081,38664
473,914637,9603,198226,667585,328,346431,124581,195580,38664
474,630766,9937,140999,422172,236,178218,97284,146054,38664
475,576494,6147,121190,424474,174,176892,115725,131315,38664
476,880004,9675,208528,626130,337,306228,137001,182028,38664
477,969707,13134,233875,676429,432,311795,132065,231388,38664
478,1077141,10435,215767,810686,514,231346,361320,216742,38664
