iteration,total_ns,layout_ns,raster_ns,backend_ns,probe_ns,convert_ns,upload_ns,commit_ns,upload_bytes
248,6477333,86928,4387194,1622234,5655,981350,292490,339327,38664
249,6716111,83919,4587780,1692119,28248,962022,262421,434888,38664
250,6958507,108881,4791922,1608475,11981,899998,306244,385570,38664
251,7129976,104418,4579494,2036979,5451,1015054,497650,514234,38664
252,6962382,92231,4644971,1861174,5184,1001169,276318,574451,38664
253,5189393,78929,3387196,1397132,4590,749976,305339,333971,38664
254,7371087,104503,4399568,2393614,5872,1458003,413998,511630,38664
255,5882451,70934,3799821,1679351,6843,938010,515632,214729,38664
256,5390009,81026,3338298,1608500,4447,887622,225085,488220,38664
257,6503121,90943,4344865,1699030,5365,916216,299187,474252,38664
258,7344981,124734,4734351,1979695,6529,1399358,301686,268143,38664
259,7156817,101927,4890518,1719926,5782,967528,231426,510180,38664
260,5311575,82012,3414278,1475499,6676,797733,359927,307288,38664
261,6012417,88566,4146977,1373797,5847,773212,278027,312202,38664
262,5277859,91238,3541030,1246299,5276,796936,190341,250602,38664
263,5062106,71789,3409524,1254693,5126,754140,248759,243674,38664
264,5076932,72440,3345420,1305439,4782,775761,244172,277174,38664
265,5056901,74082,3415471,1238913,4627,799372,197276,234543,38664
266,5478312,69033,3499468,1597702,5139,1092268,233485,263151,38664
267,5183327,76121,3425752,1296259,5144,850390,185056,252207,38664
268,5250198,70270,3470728,1402715,5636,795671,379738,217662,38664
269,6891264,74975,4249837,2142376,6422,1336530,323152,471441,38664
270,6463857,103110,4429553,1531855,5530,928271,245214,348671,38664
271,6322314,107629,3896169,1847519,6837,1159728,388789,287474,38664
272,7363783,117264,4552581,2202332,7551,1490714,331536,368226,38664
273,6845853,101336,4445028,1818105,7751,1314340,230054,261425,38664
274,7235274,115706,4458284,2155107,7492,1401000,317698,424013,38664
275,7351487,170817,4629302,2032056,7196,1098552,446698,475269,38664
276,6893620,90475,4374072,2050381,7029,1297782,467856,272970,38664
277,7058642,115312,4426600,2040531,6225,1276445,315135,438389,38664
278,5749521,82156,3740146,1597478,5475,947310,287069,354217,38664
279,8853098,95150,6865155,1507389,5198,895318,287771,314709,38664
280,6335933,81967,4172793,1714982,4548,898067,306221,502240,38664
281,6489225,94463,4578265,1433885,6825,816938,280350,324998,38664
282,5674127,76345,3770485,1471785,4188,735854,345171,383123,38664
283,5782442,77285,4001906,1371424,5865,728910,321274,311275,38664
284,6628373,80821,4290932,1900555,6689,957874,305972,625143,38664
285,7016362,116345,4558405,1843874,7694,1205342,271409,354527,38664
286,5585291,79947,3277222,1889134,5416,1277934,257114,344092,38664
287,6572465,84555,4309981,1765251,5610,954843,326765,473597,38664
288,5818332,92252,4130366,1227044,4735,829462,208724,180947,38664
289,6732345,97727,4375324,1823681,30572,1230654,249806,309311,38664
290,6622120,117167,4102415,1912649,10794,1289689,275134,333167,38664
291,6767184,114079,4259124,1948440,6102,1294310,261940,382698,38664
292,6960367,102251,4492534,1920291,6105,1280275,274417,355850,38664
293,6703656,101401,4026529,2127292,5445,1210815,565042,342716,38664
294,6237857,94763,4106925,1606896,6545,854521,278794,463004,38664
295,6495645,98143,4106835,1848366,6971,1134135,301110,402599,38664
296,5678337,92035,3554330,1617453,5869,1085141,243743,279282,38664
297,6021214,105032,3798686,1724035,5303,1178847,226459,310468,38664
298,6591536,104822,4529135,1528241,5577,916326,302057,300191,38664
299,6958431,106291,4402260,2010888,6889,1229380,286121,484584,38664
300,7057874,113053,4335295,2146892,7016,1150613,605397,379811,38664
301,6211173,93963,3900757,1805723,5489,1163553,304934,328475,38664
302,6639189,122228,4218380,1875635,6150,1258431,269377,338119,38664
303,6620513,103014,4316378,1741448,5463,904432,297280,530594,38664
304,6463354,90571,4333283,1656216,5104,924824,272656,449151,38664
305,6532660,118049,4290021,1666336,5995,1026196,337282,292706,38664
306,6615279,110424,4186411,1867687,6089,1336194,226869,295382,38664
307,6597970,93925,4153674,1906737,5589,1283798,263033,349938,38664
308,5991013,107419,3686487,1776950,5499,909574,335714,521645,38664
309,6342245,83266,4257879,1636286,5303,892048,309115,425642,38664
310,6752058,93602,4274432,1965985,5654,907519,330006,717637,38664
311,6156100,102121,4144809,1541170,6013,898140,296179,335928,38664
312,5840397,87723,3626249,1735035,6170,814864,378044,532085,38664
313,6237355,109887,4130083,1652110,5177,913727,406120,322976,38664
314,6487376,82481,4156151,1738716,11398,895310,271107,556995,38664
315,6684247,106667,4382731,1729998,7058,1173453,250507,295753,38664
316,6656562,102038,4294130,1841979,4031,1148839,423530,262382,38664
317,6593173,101278,4197590,1866318,6038,1252942,296686,306678,38664
318,6646079,103324,4506532,1603434,4709,866118,250933,478256,38664
319,6503213,107140,4043908,1872588,6172,1260185,250146,352696,38664
320,6713800,114283,4327946,1790703,7080,1227383,266992,284296,38664
321,6912371,105506,4323446,2028438,6418,1250381,367575,400316,38664
322,6196304,86662,4303944,1454964,5525,819462,316197,309575,38664
323,7026081,113224,4291594,2177081,7237,1291791,358476,514676,38664
324,7179584,114174,4345684,2225656,6933,1240762,360861,612699,38664
325,6685968,93412,4185874,1992906,7691,926279,534437,519353,38664
326,5741831,133650,3754598,1489541,4288,748053,259763,473941,38664
327,6299731,88378,3935484,1875234,5948,1386162,237346,242790,38664
328,6727604,106756,4284062,1915745,28995,1262022,303210,314965,38664
329,5795850,93845,3606315,1641313,10568,1142098,208901,276918,38664
330,5893228,87803,3628214,1801134,6263,1127787,320351,342805,38664
331,4311297,70576,2839927,1095770,4447,717057,174237,197593,38664
332,4398667,59102,2917307,1161718,5766,809468,148096,195397,38664
333,4747563,76246,3143193,1233668,4928,758131,197121,270090,38664
334,6801824,106522,4279197,1954716,6454,1310019,345390,288909,38664
335,5481054,118528,3636429,1267410,6520,879085,172625,205996,38664
336,5374783,79971,3604316,1369021,5226,802735,313086,243851,38664
337,5381235,84471,3655335,1290631,7572,807788,233233,237544,38664
338,5342485,68926,3313379,1640762,4663,852120,314260,466937,38664
339,6199067,67309,4206732,1615489,5543,900008,313419,392025,38664
340,5228426,80528,3366496,1400796,6440,832355,250904,308301,38664
341,7041493,71177,3364570,3260269,4781,783399,409130,2059565,38664
342,6343338,79549,4388468,1520115,6028,747744,389052,372358,38664
343,6151654,104190,3800654,1827048,7517,955268,387961,472153,38664
344,5342735,76362,3517048,1438575,4400,757736,273115,399975,38664
345,4759674,75901,3006233,1350434,6629,789501,300248,251097,38664
346,5176626,68354,3217380,1586595,6212,779221,367748,429304,38664
347,5582120,96999,3710523,1380554,6666,848189,236123,285030,38664
348,6156773,98441,3799986,1869824,6161,1293008,297261,269420,38664
349,6510655,117598,4204702,1732897,6365,1170342,296245,256210,38664
350,5697314,104231,3689652,1477402,4680,710496,338500,420404,38664
351,5010153,84647,3185349,1381461,5579,766542,374433,231940,38664
352,4747183,70082,3023820,1326433,4574,765099,307898,245874,38664
353,5578977,72356,3255862,1939389,4849,759871,753317,418508,38664
